"ID1","ID2","lat","long","el"
"SD241782",NA,36.58389,-120.66667,320
"UC1529013",NA,35.5657,-120.1137,518
"CAS-BOT-BC38173",NA,34.727265,-119.222423,1432
"CAS-BOT-BC38217",NA,35.78,-120.209,426
"UCSB2234",NA,34.711037,-119.117755,1676
"CAS-BOT-BC38176",NA,34.774,-119.642,1554
"CAS-BOT-BC38178",NA,35.511151,-119.968856,792
"CAS-BOT-BC38183",NA,34.96342,-119.109285,1127
"UC2026995",NA,35.031667,-119.658056,919
"SBBG116541",NA,34.88193,-119.4278,1030
"CAS-BOT-BC38181",NA,35.565825,-118.851804,502
"RSA116506",NA,35.692418,-120.143158,366
"SBBG14744",NA,35.6636,-120.2275,655
"SBBG16948",NA,34.63,-119.113,1524
"SBBG22885",NA,34.883,-119.446,975
"UCR84372",NA,34.73431,-119.39631,1027
"UCR98782",NA,34.94353,-119.11153,1220
"CAS-BOT-BC38187",NA,34.943333,-119.111389,1097
"CAS-BOT-BC38199",NA,36.283333,-120.933333,304
"CAS-BOT-BC434964",NA,34.770833,-118.680833,960
"CAS-BOT-BC541448",NA,34.88193,-119.42781,1030
"CDA15627",NA,35.2,-119.9,609
"CDA30496",NA,34.823889,-119.714722,1569
"JEPS100507",NA,36.583332,-120.666664,320
"OBI62188",NA,35.083333,-119.716667,660
"RSA0029044",NA,35.041389,-119.658889,819
"RSA599543",NA,34.943528,-119.111528,1098
"RSA614188",NA,34.95,-119.108333,1220
"RSA695546",NA,35.729167,-120.268889,351
"RSA756110",NA,35.502056,-120.078472,671
"UC1736551",NA,36.50028,-120.73333,908
