PRISM Time Series Data
Locations: 31
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1966-01 - 1980-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2018-Nov-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
SD241782,-120.6667,36.5839,331.0,1966-01,14.42,-0.2,6.9,13.9
SD241782,-120.6667,36.5839,331.0,1966-02,22.13,1.0,7.8,14.5
SD241782,-120.6667,36.5839,331.0,1966-03,2.99,4.0,12.1,20.2
SD241782,-120.6667,36.5839,331.0,1966-04,3.33,6.6,16.6,26.7
SD241782,-120.6667,36.5839,331.0,1966-05,4.14,9.9,19.7,29.5
SD241782,-120.6667,36.5839,331.0,1966-06,0.11,11.8,22.1,32.5
SD241782,-120.6667,36.5839,331.0,1966-07,5.14,12.0,23.2,34.5
SD241782,-120.6667,36.5839,331.0,1966-08,0.00,14.7,25.7,36.7
SD241782,-120.6667,36.5839,331.0,1966-09,2.26,11.7,21.4,31.2
SD241782,-120.6667,36.5839,331.0,1966-10,0.00,8.9,17.9,27.0
SD241782,-120.6667,36.5839,331.0,1966-11,33.01,6.0,12.3,18.6
SD241782,-120.6667,36.5839,331.0,1966-12,80.97,3.0,7.9,12.8
SD241782,-120.6667,36.5839,331.0,1967-01,49.14,0.9,7.6,14.4
SD241782,-120.6667,36.5839,331.0,1967-02,10.57,2.3,9.0,15.8
SD241782,-120.6667,36.5839,331.0,1967-03,43.78,3.7,10.6,17.4
SD241782,-120.6667,36.5839,331.0,1967-04,87.21,3.1,9.2,15.2
SD241782,-120.6667,36.5839,331.0,1967-05,2.51,8.6,18.2,27.7
SD241782,-120.6667,36.5839,331.0,1967-06,2.88,11.1,20.8,30.5
SD241782,-120.6667,36.5839,331.0,1967-07,0.00,15.5,26.7,37.9
SD241782,-120.6667,36.5839,331.0,1967-08,0.00,16.5,27.3,38.1
SD241782,-120.6667,36.5839,331.0,1967-09,2.91,14.5,24.0,33.5
SD241782,-120.6667,36.5839,331.0,1967-10,2.03,9.9,18.8,27.8
SD241782,-120.6667,36.5839,331.0,1967-11,31.97,7.1,14.0,20.8
SD241782,-120.6667,36.5839,331.0,1967-12,31.64,-0.4,6.4,13.2
SD241782,-120.6667,36.5839,331.0,1968-01,13.70,-0.3,6.8,13.8
SD241782,-120.6667,36.5839,331.0,1968-02,36.46,6.6,12.1,17.5
SD241782,-120.6667,36.5839,331.0,1968-03,35.47,4.5,12.2,20.0
SD241782,-120.6667,36.5839,331.0,1968-04,13.99,5.8,14.9,24.0
SD241782,-120.6667,36.5839,331.0,1968-05,0.43,8.1,17.8,27.5
SD241782,-120.6667,36.5839,331.0,1968-06,0.00,12.8,23.5,34.2
SD241782,-120.6667,36.5839,331.0,1968-07,0.00,16.2,26.3,36.5
SD241782,-120.6667,36.5839,331.0,1968-08,0.17,13.7,23.1,32.6
SD241782,-120.6667,36.5839,331.0,1968-09,0.00,11.8,22.1,32.5
SD241782,-120.6667,36.5839,331.0,1968-10,25.90,9.0,17.1,25.2
SD241782,-120.6667,36.5839,331.0,1968-11,44.96,6.0,11.4,16.9
SD241782,-120.6667,36.5839,331.0,1968-12,54.64,0.6,6.6,12.5
SD241782,-120.6667,36.5839,331.0,1969-01,116.89,2.5,7.4,12.2
SD241782,-120.6667,36.5839,331.0,1969-02,151.41,2.5,7.5,12.4
SD241782,-120.6667,36.5839,331.0,1969-03,23.39,3.1,10.3,17.5
SD241782,-120.6667,36.5839,331.0,1969-04,28.96,6.0,13.8,21.7
SD241782,-120.6667,36.5839,331.0,1969-05,0.00,10.0,19.3,28.6
SD241782,-120.6667,36.5839,331.0,1969-06,0.00,12.7,21.1,29.5
SD241782,-120.6667,36.5839,331.0,1969-07,0.00,15.5,25.7,35.9
SD241782,-120.6667,36.5839,331.0,1969-08,0.00,15.1,25.6,36.2
SD241782,-120.6667,36.5839,331.0,1969-09,13.46,14.0,23.5,33.0
SD241782,-120.6667,36.5839,331.0,1969-10,13.22,7.7,15.6,23.4
SD241782,-120.6667,36.5839,331.0,1969-11,18.65,3.7,12.0,20.2
SD241782,-120.6667,36.5839,331.0,1969-12,24.67,1.9,8.9,15.9
SD241782,-120.6667,36.5839,331.0,1970-01,64.29,3.6,9.5,15.4
SD241782,-120.6667,36.5839,331.0,1970-02,25.87,3.6,10.5,17.5
SD241782,-120.6667,36.5839,331.0,1970-03,44.74,4.5,11.9,19.3
SD241782,-120.6667,36.5839,331.0,1970-04,4.35,3.8,12.3,20.7
SD241782,-120.6667,36.5839,331.0,1970-05,0.00,9.7,19.5,29.2
SD241782,-120.6667,36.5839,331.0,1970-06,0.39,13.6,22.9,32.3
SD241782,-120.6667,36.5839,331.0,1970-07,0.00,16.1,26.5,36.8
SD241782,-120.6667,36.5839,331.0,1970-08,0.00,14.9,25.1,35.2
SD241782,-120.6667,36.5839,331.0,1970-09,0.00,12.0,22.2,32.5
SD241782,-120.6667,36.5839,331.0,1970-10,5.31,8.3,17.0,25.6
SD241782,-120.6667,36.5839,331.0,1970-11,77.23,5.7,12.6,19.4
SD241782,-120.6667,36.5839,331.0,1970-12,65.95,2.5,7.5,12.6
SD241782,-120.6667,36.5839,331.0,1971-01,8.07,0.8,7.2,13.7
SD241782,-120.6667,36.5839,331.0,1971-02,8.04,1.3,8.1,14.9
SD241782,-120.6667,36.5839,331.0,1971-03,18.81,3.1,10.8,18.6
SD241782,-120.6667,36.5839,331.0,1971-04,23.50,5.0,13.1,21.2
SD241782,-120.6667,36.5839,331.0,1971-05,20.52,8.7,16.5,24.3
SD241782,-120.6667,36.5839,331.0,1971-06,0.00,11.9,21.7,31.5
SD241782,-120.6667,36.5839,331.0,1971-07,0.00,15.5,25.8,36.2
SD241782,-120.6667,36.5839,331.0,1971-08,0.00,16.1,26.0,35.9
SD241782,-120.6667,36.5839,331.0,1971-09,0.66,12.9,22.5,32.1
SD241782,-120.6667,36.5839,331.0,1971-10,5.86,7.2,15.9,24.6
SD241782,-120.6667,36.5839,331.0,1971-11,15.04,2.9,10.6,18.2
SD241782,-120.6667,36.5839,331.0,1971-12,68.87,0.3,6.2,12.2
SD241782,-120.6667,36.5839,331.0,1972-01,5.06,-1.3,4.9,11.1
SD241782,-120.6667,36.5839,331.0,1972-02,13.00,3.1,10.2,17.4
SD241782,-120.6667,36.5839,331.0,1972-03,0.00,6.5,14.7,22.9
SD241782,-120.6667,36.5839,331.0,1972-04,7.28,6.5,14.7,23.0
SD241782,-120.6667,36.5839,331.0,1972-05,0.15,10.3,19.7,29.1
