"specimen_number","longitude","latitude","elev_prism_m","clim_year","clim_month","ppt_mm","tmin","tave","tmax","clim_date"
"SD241782",-120.6667,36.5839,331,1951,1,31.26,1.9,7.7,13.5,195101
"SD241782",-120.6667,36.5839,331,1951,2,37.41,2.2,9.3,16.4,195102
"SD241782",-120.6667,36.5839,331,1951,3,10.66,3,11.5,20,195103
"SD241782",-120.6667,36.5839,331,1951,4,18.29,6.4,15.3,24.2,195104
"SD241782",-120.6667,36.5839,331,1951,5,1.21,9.2,18.9,28.7,195105
"SD241782",-120.6667,36.5839,331,1951,6,0,11.6,22.4,33.3,195106
"SD241782",-120.6667,36.5839,331,1951,7,0,13.1,24.9,36.7,195107
"SD241782",-120.6667,36.5839,331,1951,8,0,13.2,24.6,36.1,195108
"SD241782",-120.6667,36.5839,331,1951,9,0,11.9,23,34.2,195109
"SD241782",-120.6667,36.5839,331,1951,10,12.69,8.4,17.3,26.3,195110
"SD241782",-120.6667,36.5839,331,1951,11,34.74,4.7,12.6,20.5,195111
"SD241782",-120.6667,36.5839,331,1951,12,96.36,1.6,7.5,13.5,195112
"SD241782",-120.6667,36.5839,331,1952,1,68.58,0.8,6.8,12.8,195201
"SD241782",-120.6667,36.5839,331,1952,2,22.56,2.4,9.3,16.3,195202
"SD241782",-120.6667,36.5839,331,1952,3,74.43,2.4,9.2,16.1,195203
"SD241782",-120.6667,36.5839,331,1952,4,37.05,6.2,14.8,23.4,195204
"SD241782",-120.6667,36.5839,331,1952,5,0,9.3,19.7,30.1,195205
"SD241782",-120.6667,36.5839,331,1952,6,0,9.9,19.9,29.9,195206
"SD241782",-120.6667,36.5839,331,1952,7,0,15.3,26.3,37.3,195207
"SD241782",-120.6667,36.5839,331,1952,8,0,13.1,24.6,36.2,195208
"SD241782",-120.6667,36.5839,331,1952,9,2.11,13,23.5,33.9,195209
"SD241782",-120.6667,36.5839,331,1952,10,0,10.1,19.6,29.2,195210
"SD241782",-120.6667,36.5839,331,1952,11,32.34,3.2,11.1,18.9,195211
"SD241782",-120.6667,36.5839,331,1952,12,95.95,3.4,8.9,14.3,195212
"SD241782",-120.6667,36.5839,331,1953,1,13.82,3.9,10.1,16.4,195301
"SD241782",-120.6667,36.5839,331,1953,2,1.53,0.9,9.6,18.3,195302
"SD241782",-120.6667,36.5839,331,1953,3,14.08,2.1,11.1,20.1,195303
"SD241782",-120.6667,36.5839,331,1953,4,23.19,5.6,14.4,23.2,195304
"SD241782",-120.6667,36.5839,331,1953,5,7.84,6.9,15.7,24.5,195305
"SD241782",-120.6667,36.5839,331,1953,6,2.8,10.5,20.3,30.2,195306
"SD241782",-120.6667,36.5839,331,1953,7,0,15.6,26.8,38.1,195307
"SD241782",-120.6667,36.5839,331,1953,8,0,12.8,22.8,32.8,195308
"SD241782",-120.6667,36.5839,331,1953,9,0,14.1,23.6,33.1,195309
"SD241782",-120.6667,36.5839,331,1953,10,3.4,6.6,16.6,26.5,195310
"SD241782",-120.6667,36.5839,331,1953,11,32.3,6.2,12.9,19.7,195311
"SD241782",-120.6667,36.5839,331,1953,12,11.57,0.8,8.4,15.9,195312
"SD241782",-120.6667,36.5839,331,1954,1,40.09,0.8,7.9,15,195401
"SD241782",-120.6667,36.5839,331,1954,2,44.65,2.7,9.9,17.1,195402
