specimen_number	taxon_name	collector	coll_number_prefix	coll_number	coll_number_suffix	collection_date	late_collection_date	verbatim_date	county	elevation	locality	latitude	longitude	datum	source	error_distance	units	citation
SD241782	Caulanthus anceps	Dean Wm. Taylor		14905		1995-05-18	1995-05-18	18-May-95	Fresno	320 m	Inner South Coast Ranges Region; San Benito Mountain Area: Tumey Hills; along Tumey Hills Access Road ca. 3.5 miles S of entry gate. Head of W facing canyon along a PG&E natural gas pipeline route.	36.58389	-120.66667	not recorded	Coordinates from label	0		Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1127022	Caulanthus anceps	A. D. Gifford		507		1935-03-25	1935-03-25	Mar 25 1935	Los Angeles	975 m	5.25 mi nnw Sawmill Pk.; Tejon Quad.	34.7548	-118.598	not recorded	trs2LL	0.5	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1127023	Caulanthus anceps	P. L. Johannsen		52		1932-04-19	1932-04-19	Apr 19 1932	Fresno	518 m	Waltham Creek Priest Valley Quad.	36.1009	-120.5524	not recorded	trs2LL	0.5	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1127024	Caulanthus anceps	T. M. Hendrix		126		1937-04-27	1937-04-27	Apr 27 1937	San Luis Obispo	502 m	4.3 mi ne Black Mountain; Pozo Quad.	35.433	-120.2981	not recorded	trs2LL	0.5	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1127026	Caulanthus anceps	E. Armstrong		1181		1934-04-01	1934-04-01	Apr 1 1934	San Luis Obispo	609 m	Syncline Hill La Panza Quad.	35.3752	-120.1016	not recorded	trs2LL	0.5	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1529013	Caulanthus anceps	Dean W. Taylor		8728		1986-03-16	1986-03-16	Mar 16 1986	San Luis Obispo	518 m	"1.2 mi n Shandon-Bitterwater road junction with California Valley rd (along Shandon-Bitterwater road, near benchmark 1718); Temblor Range"	35.5657	-120.1137	not recorded	trs2LL	0.5	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC572415	Caulanthus anceps	W. A. Peterson		665		1937-04-08	1937-04-08	Apr 8 1937	San Luis Obispo	533 m	1.5 mi e La Panza Ranch; La Panza Quad.	35.3896	-120.1373	not recorded	trs2LL	0.5	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS46132	Caulanthus anceps	Charlotte N. Smith		307		1941-04-16	1941-04-16	Apr 16 1941	Kern	502 m	"about 1-1/8 mi nw Long Tom Mines (along road to Granite School, just above road that branches off Long Tom road); Greenhorn Mts."	35.55283	-118.84627	not recorded	Terrain Navigator	0.533	miles	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38173	Caulanthus anceps	D. E. Breedlove		2410		1962-04-19	1962-04-19	19-Apr-62	Ventura	1432 m	"Head of the Ozena Valley, 9.0 miles east of US Highway 399 on Lockwood Valley Road."	34.727265	-119.222423	Geolocate (copied from DS489030)	WGS84	1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38174	Caulanthus anceps	D. E. Breedlove		2410		1962-04-19	1962-04-19	19-Apr-62	Ventura	1432 m	"Head of the Ozena Valley, 9.0 miles east of US Highway 399 on Lockwood Valley Road."	34.727265	-119.222423	Geolocate (copied from DS489030)	WGS84	1	km	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
