"id","clim_year","clim_month","clim_date","CMD","DD_0_","DD_18_","DD18_","DD5_","Eref","NFFD","PAS","ppt_mm","Rad","RH","tave","tmax","tmin"
"CAS-BOT-BC38173",1901,1,190101,0,17,390,0,50,47,10,4,133,-9999,51,5.5,13.1,-2.1
"CAS-BOT-BC38173",1901,2,190102,0,17,356,0,39,54,7,5,137,-9999,48,5.2,13.2,-2.8
"CAS-BOT-BC38173",1901,3,190103,83,10,346,0,75,93,6,0,10,-9999,38,6.9,17.1,-3.3
"CAS-BOT-BC38173",1901,4,190104,77,4,300,0,101,110,10,1,33,-9999,42,8,17.6,-1.5
"CAS-BOT-BC38173",1901,5,190105,117,0,218,2,192,143,18,0,25,-9999,43,11,20.8,1.3
"CAS-BOT-BC38173",1901,6,190106,191,0,94,17,314,191,22,0,1,-9999,32,15.5,28.5,2.5
"CAS-BOT-BC38173",1901,7,190107,215,0,15,78,464,216,31,0,2,-9999,34,20,32.6,7.3
"CAS-BOT-BC38173",1901,8,190108,208,0,16,85,471,208,30,0,1,-9999,31,20.2,34,6.4
"CAS-BOT-BC38173",1901,9,190109,127,0,99,21,312,140,23,0,14,-9999,35,15.4,27.5,3.2
"CAS-BOT-BC38173",1901,10,190110,66,0,158,5,259,103,21,0,37,-9999,38,13.3,24.4,2.1
"CAS-BOT-BC38173",1901,11,190111,48,3,262,0,135,59,16,0,11,-9999,47,9.3,18,0.6
"CAS-BOT-BC38173",1901,12,190112,34,15,378,0,55,45,8,0,11,-9999,47,5.7,14.1,-2.6
"CAS-BOT-BC38176",1901,1,190101,0,26,441,0,29,35,12,9,145,-9999,65,3.9,8.9,-1.2
"CAS-BOT-BC38176",1901,2,190102,0,24,395,0,24,42,9,9,123,-9999,62,3.7,9.2,-1.8
"CAS-BOT-BC38176",1901,3,190103,68,15,390,0,48,76,9,0,8,-9999,50,5.5,13.2,-2.3
"CAS-BOT-BC38176",1901,4,190104,34,6,336,0,74,96,10,3,63,-9999,49,6.8,14.9,-1.2
"CAS-BOT-BC38176",1901,5,190105,105,0,216,2,195,127,25,0,23,-9999,53,11.1,18.9,3.4
"CAS-BOT-BC38176",1901,6,190106,176,0,102,14,303,178,25,0,2,-9999,37,15.1,26.7,3.6
"CAS-BOT-BC38176",1901,7,190107,194,0,22,58,439,200,31,0,6,-9999,39,19.1,30.5,7.8
"CAS-BOT-BC38176",1901,8,190108,186,0,23,66,446,189,30,0,3,-9999,37,19.4,31.2,7.6
"CAS-BOT-BC38176",1901,9,190109,104,0,101,20,309,125,27,0,22,-9999,44,15.3,25,5.5
"CAS-BOT-BC38176",1901,10,190110,27,0,147,6,271,90,28,0,63,-9999,50,13.7,22.1,5.3
"CAS-BOT-BC38176",1901,11,190111,29,4,293,0,108,48,20,0,20,-9999,59,8.3,14.6,1.9
"CAS-BOT-BC38176",1901,12,190112,33,20,410,0,39,39,10,0,5,-9999,56,4.7,11.3,-2
"CAS-BOT-BC38178",1901,1,190101,0,8,306,0,110,40,24,1,69,-9999,69,8.3,13,3.5
"CAS-BOT-BC38178",1901,2,190102,0,7,259,0,109,47,23,0,64,-9999,69,8.6,13.3,3.9
"CAS-BOT-BC38178",1901,3,190103,72,5,277,0,133,80,22,0,8,-9999,58,9.1,15.7,2.5
"CAS-BOT-BC38178",1901,4,190104,82,1,213,2,185,105,25,0,23,-9999,56,11.1,18.2,4.1
"CAS-BOT-BC38178",1901,5,190105,104,0,99,15,327,130,31,0,26,-9999,63,15.5,21.6,9.4
"CAS-BOT-BC38178",1901,6,190106,177,0,29,68,426,178,30,0,1,-9999,48,19.2,28.4,10.1
"CAS-BOT-BC38178",1901,7,190107,207,0,2,197,598,207,31,0,0,-9999,49,24.3,33.7,14.9
"CAS-BOT-BC38178",1901,8,190108,178,0,2,207,608,179,31,0,1,-9999,54,24.7,32.9,16.4
"CAS-BOT-BC38178",1901,9,190109,112,0,32,76,434,126,30,0,13,-9999,54,19.5,27.4,11.5
"CAS-BOT-BC38178",1901,10,190110,73,0,53,39,398,89,31,0,16,-9999,60,17.9,24.5,11.2
"CAS-BOT-BC38178",1901,11,190111,41,1,179,2,220,52,28,0,11,-9999,63,12.3,18.1,6.4
"CAS-BOT-BC38178",1901,12,190112,41,7,291,0,120,46,19,0,4,-9999,54,8.5,15.8,1.3
"CAS-BOT-BC38181",1901,1,190101,0,5,244,0,168,45,28,0,49,-9999,67,10.3,15.5,5.1
"CAS-BOT-BC38181",1901,2,190102,0,3,193,1,169,53,26,0,84,-9999,67,11,16.1,5.9
"CAS-BOT-BC38181",1901,3,190103,83,2,174,3,242,96,28,0,13,-9999,55,12.7,20.1,5.3
"CAS-BOT-BC38181",1901,4,190104,97,0,111,11,298,129,29,0,32,-9999,51,14.9,23.2,6.6
"CAS-BOT-BC38181",1901,5,190105,128,0,42,53,420,155,31,0,27,-9999,57,18.6,25.9,11.2
"CAS-BOT-BC38181",1901,6,190106,198,0,5,168,553,199,30,0,1,-9999,49,23.5,32.8,14.2
"CAS-BOT-BC38181",1901,7,190107,227,0,0,325,726,227,31,0,0,-9999,50,28.5,37.8,19.1
"CAS-BOT-BC38181",1901,8,190108,202,0,0,327,728,202,31,0,1,-9999,52,28.6,37.4,19.7
"CAS-BOT-BC38181",1901,9,190109,143,0,9,165,550,147,30,0,4,-9999,51,23.4,32.3,14.5
"CAS-BOT-BC38181",1901,10,190110,88,0,27,84,465,105,31,0,17,-9999,53,20.1,28.3,11.9
"CAS-BOT-BC38181",1901,11,190111,58,0,100,21,312,66,29,0,8,-9999,54,15.4,23.2,7.6
"CAS-BOT-BC38181",1901,12,190112,36,6,267,1,142,46,22,0,10,-9999,57,9.3,16.2,2.4
"CAS-BOT-BC38183",1901,1,190101,0,7,291,0,123,43,24,1,55,-9999,66,8.7,13.9,3.6
"CAS-BOT-BC38183",1901,2,190102,0,9,289,0,84,47,20,1,86,-9999,67,7.5,12.5,2.5
"CAS-BOT-BC38183",1901,3,190103,77,5,282,0,128,87,19,0,10,-9999,52,9,16.7,1.3
"CAS-BOT-BC38183",1901,4,190104,70,2,234,1,160,105,23,0,35,-9999,54,10.2,17.6,2.8
"CAS-BOT-BC38183",1901,5,190105,103,0,150,6,270,131,29,0,28,-9999,58,13.6,20.5,6.7
"CAS-BOT-BC38183",1901,6,190106,169,0,39,52,401,169,30,0,0,-9999,50,18.4,27.1,9.7
"CAS-BOT-BC38183",1901,7,190107,198,0,3,165,566,198,31,0,0,-9999,51,23.3,32.2,14.3
"CAS-BOT-BC38183",1901,8,190108,178,0,3,169,570,178,31,0,0,-9999,52,23.4,32,14.8
"CAS-BOT-BC38183",1901,9,190109,115,0,42,58,406,123,30,0,8,-9999,54,18.5,26.4,10.7
"CAS-BOT-BC38183",1901,10,190110,55,0,83,20,349,88,31,0,34,-9999,58,16.3,23.2,9.3
"CAS-BOT-BC38183",1901,11,190111,54,1,169,3,232,59,27,0,5,-9999,57,12.7,19.6,5.8
"CAS-BOT-BC38183",1901,12,190112,36,7,290,0,121,44,21,0,8,-9999,60,8.6,14.9,2.3
"CAS-BOT-BC38187",1901,1,190101,0,7,295,0,120,43,24,1,56,-9999,66,8.6,13.8,3.4
"CAS-BOT-BC38187",1901,2,190102,0,9,289,0,83,48,20,1,86,-9999,66,7.5,12.6,2.4
"CAS-BOT-BC38187",1901,3,190103,77,5,279,0,131,88,19,0,10,-9999,52,9.1,16.8,1.3
"CAS-BOT-BC38187",1901,4,190104,71,2,233,1,162,106,23,0,35,-9999,54,10.3,17.7,2.8
