"id","clim_year","clim_month","clim_date","elev_prism_m","ppt_mm","tmin","tave","tmax"
"SD241782",1951,1,195101,331,31.26,1.9,7.7,13.5
"SD241782",1951,2,195102,331,37.41,2.2,9.3,16.4
"SD241782",1951,3,195103,331,10.66,3,11.5,20
"SD241782",1951,4,195104,331,18.29,6.4,15.3,24.2
"SD241782",1951,5,195105,331,1.21,9.2,18.9,28.7
"SD241782",1951,6,195106,331,0,11.6,22.4,33.3
"SD241782",1951,7,195107,331,0,13.1,24.9,36.7
"SD241782",1951,8,195108,331,0,13.2,24.6,36.1
"SD241782",1951,9,195109,331,0,11.9,23,34.2
"SD241782",1951,10,195110,331,12.69,8.4,17.3,26.3
"SD241782",1951,11,195111,331,34.74,4.7,12.6,20.5
"SD241782",1951,12,195112,331,96.36,1.6,7.5,13.5
"SD241782",1952,1,195201,331,68.58,0.8,6.8,12.8
"SD241782",1952,2,195202,331,22.56,2.4,9.3,16.3
"SD241782",1952,3,195203,331,74.43,2.4,9.2,16.1
"SD241782",1952,4,195204,331,37.05,6.2,14.8,23.4
"SD241782",1952,5,195205,331,0,9.3,19.7,30.1
"SD241782",1952,6,195206,331,0,9.9,19.9,29.9
"SD241782",1952,7,195207,331,0,15.3,26.3,37.3
"SD241782",1952,8,195208,331,0,13.1,24.6,36.2
"SD241782",1952,9,195209,331,2.11,13,23.5,33.9
"SD241782",1952,10,195210,331,0,10.1,19.6,29.2
"SD241782",1952,11,195211,331,32.34,3.2,11.1,18.9
"SD241782",1952,12,195212,331,95.95,3.4,8.9,14.3
"SD241782",1953,1,195301,331,13.82,3.9,10.1,16.4
"SD241782",1953,2,195302,331,1.53,0.9,9.6,18.3
"SD241782",1953,3,195303,331,14.08,2.1,11.1,20.1
"SD241782",1953,4,195304,331,23.19,5.6,14.4,23.2
"SD241782",1953,5,195305,331,7.84,6.9,15.7,24.5
"SD241782",1953,6,195306,331,2.8,10.5,20.3,30.2
"SD241782",1953,7,195307,331,0,15.6,26.8,38.1
"SD241782",1953,8,195308,331,0,12.8,22.8,32.8
"SD241782",1953,9,195309,331,0,14.1,23.6,33.1
"SD241782",1953,10,195310,331,3.4,6.6,16.6,26.5
"SD241782",1953,11,195311,331,32.3,6.2,12.9,19.7
"SD241782",1953,12,195312,331,11.57,0.8,8.4,15.9
"SD241782",1954,1,195401,331,40.09,0.8,7.9,15
"SD241782",1954,2,195402,331,44.65,2.7,9.9,17.1
"SD241782",1954,3,195403,331,59.83,3.1,10.2,17.3
"SD241782",1954,4,195404,331,10.63,8,16.9,25.9
"SD241782",1954,5,195405,331,4.34,9.4,19.7,29.9
"SD241782",1954,6,195406,331,3.63,11.9,21.5,31.1
"SD241782",1954,7,195407,331,0,15.8,26.8,37.8
"SD241782",1954,8,195408,331,0,12.6,23.1,33.7
"SD241782",1954,9,195409,331,0,10.7,21,31.3
"SD241782",1954,10,195410,331,0,7.8,17,26.1
"SD241782",1954,11,195411,331,20.23,4.8,11.9,18.9
"SD241782",1954,12,195412,331,41.2,1.5,7.1,12.7
"SD241782",1955,1,195501,331,66.8,-0.1,5.5,11.2
"SD241782",1955,2,195502,331,35.4,1,8.4,15.8
"SD241782",1955,3,195503,331,6.45,2.9,11.3,19.8
"SD241782",1955,4,195504,331,25.53,3.5,12.2,20.8
"SD241782",1955,5,195505,331,21.37,9.4,18.2,27.1
"SD241782",1955,6,195506,331,0,11.4,21.3,31.2
"SD241782",1955,7,195507,331,0,12.6,23.2,33.7
