PRISM Time Series Data
Locations: 31
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 1995-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2018-Nov-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
SD241782,-120.6667,36.5839,331.0,1981-01,32.75,3.1,9.6,16.1
SD241782,-120.6667,36.5839,331.0,1981-02,35.17,3.8,10.5,17.2
SD241782,-120.6667,36.5839,331.0,1981-03,77.27,4.9,11.0,17.1
SD241782,-120.6667,36.5839,331.0,1981-04,27.32,6.1,14.8,23.4
SD241782,-120.6667,36.5839,331.0,1981-05,2.65,9.9,19.2,28.5
SD241782,-120.6667,36.5839,331.0,1981-06,0.00,15.3,25.4,35.5
SD241782,-120.6667,36.5839,331.0,1981-07,0.00,14.0,25.1,36.1
SD241782,-120.6667,36.5839,331.0,1981-08,0.00,14.1,24.5,35.0
SD241782,-120.6667,36.5839,331.0,1981-09,0.00,13.1,22.8,32.4
SD241782,-120.6667,36.5839,331.0,1981-10,25.25,7.4,15.7,24.0
SD241782,-120.6667,36.5839,331.0,1981-11,67.57,6.4,12.8,19.1
SD241782,-120.6667,36.5839,331.0,1981-12,16.72,3.4,9.3,15.3
SD241782,-120.6667,36.5839,331.0,1982-01,27.44,-0.4,5.9,12.3
SD241782,-120.6667,36.5839,331.0,1982-02,29.25,2.9,9.9,17.0
SD241782,-120.6667,36.5839,331.0,1982-03,74.77,4.4,10.1,15.9
SD241782,-120.6667,36.5839,331.0,1982-04,53.69,5.7,13.1,20.4
SD241782,-120.6667,36.5839,331.0,1982-05,0.00,9.0,18.7,28.4
SD241782,-120.6667,36.5839,331.0,1982-06,22.20,11.5,20.6,29.6
SD241782,-120.6667,36.5839,331.0,1982-07,0.00,13.9,24.0,34.0
SD241782,-120.6667,36.5839,331.0,1982-08,0.00,14.6,24.2,33.9
SD241782,-120.6667,36.5839,331.0,1982-09,19.18,12.7,21.0,29.2
SD241782,-120.6667,36.5839,331.0,1982-10,19.21,8.9,17.0,25.1
SD241782,-120.6667,36.5839,331.0,1982-11,72.24,4.1,9.8,15.6
SD241782,-120.6667,36.5839,331.0,1982-12,59.26,1.6,7.6,13.5
SD241782,-120.6667,36.5839,331.0,1983-01,78.77,1.6,7.1,12.6
SD241782,-120.6667,36.5839,331.0,1983-02,99.34,4.5,10.1,15.7
SD241782,-120.6667,36.5839,331.0,1983-03,128.76,6.1,11.3,16.5
SD241782,-120.6667,36.5839,331.0,1983-04,43.26,5.4,12.3,19.3
SD241782,-120.6667,36.5839,331.0,1983-05,2.52,9.5,18.5,27.5
SD241782,-120.6667,36.5839,331.0,1983-06,0.00,12.3,21.9,31.5
SD241782,-120.6667,36.5839,331.0,1983-07,0.00,12.9,22.9,32.9
SD241782,-120.6667,36.5839,331.0,1983-08,9.42,15.7,24.7,33.8
SD241782,-120.6667,36.5839,331.0,1983-09,24.20,14.3,23.4,32.5
SD241782,-120.6667,36.5839,331.0,1983-10,15.39,9.7,17.9,26.1
SD241782,-120.6667,36.5839,331.0,1983-11,56.24,5.7,11.7,17.6
SD241782,-120.6667,36.5839,331.0,1983-12,77.30,4.4,9.6,14.8
SD241782,-120.6667,36.5839,331.0,1984-01,3.67,1.8,8.2,14.6
SD241782,-120.6667,36.5839,331.0,1984-02,22.40,1.8,9.4,17.0
SD241782,-120.6667,36.5839,331.0,1984-03,11.55,4.8,13.1,21.5
SD241782,-120.6667,36.5839,331.0,1984-04,3.47,5.3,13.7,22.1
SD241782,-120.6667,36.5839,331.0,1984-05,0.00,10.8,20.9,30.9
SD241782,-120.6667,36.5839,331.0,1984-06,0.62,12.4,22.4,32.5
SD241782,-120.6667,36.5839,331.0,1984-07,0.00,16.7,26.8,36.8
SD241782,-120.6667,36.5839,331.0,1984-08,0.28,15.4,25.1,34.9
SD241782,-120.6667,36.5839,331.0,1984-09,0.36,15.0,24.5,34.0
SD241782,-120.6667,36.5839,331.0,1984-10,15.01,7.6,15.4,23.2
SD241782,-120.6667,36.5839,331.0,1984-11,57.83,4.5,10.7,16.9
SD241782,-120.6667,36.5839,331.0,1984-12,52.41,1.9,7.1,12.2
SD241782,-120.6667,36.5839,331.0,1985-01,12.66,0.3,5.8,11.4
SD241782,-120.6667,36.5839,331.0,1985-02,24.49,1.6,9.5,17.4
SD241782,-120.6667,36.5839,331.0,1985-03,40.50,2.7,9.8,16.9
SD241782,-120.6667,36.5839,331.0,1985-04,3.87,7.5,16.8,26.2
SD241782,-120.6667,36.5839,331.0,1985-05,0.00,8.7,18.2,27.6
SD241782,-120.6667,36.5839,331.0,1985-06,1.58,14.1,24.3,34.5
SD241782,-120.6667,36.5839,331.0,1985-07,0.00,16.9,26.7,36.6
SD241782,-120.6667,36.5839,331.0,1985-08,0.00,13.2,23.3,33.4
SD241782,-120.6667,36.5839,331.0,1985-09,2.21,11.9,20.1,28.4
SD241782,-120.6667,36.5839,331.0,1985-10,13.97,8.5,16.7,24.9
SD241782,-120.6667,36.5839,331.0,1985-11,73.11,4.0,10.2,16.4
SD241782,-120.6667,36.5839,331.0,1985-12,17.72,0.3,6.2,12.1
SD241782,-120.6667,36.5839,331.0,1986-01,23.22,4.7,10.9,17.1
SD241782,-120.6667,36.5839,331.0,1986-02,146.34,5.4,11.2,17.0
SD241782,-120.6667,36.5839,331.0,1986-03,87.23,6.9,13.7,20.6
SD241782,-120.6667,36.5839,331.0,1986-04,12.87,6.9,14.9,22.8
SD241782,-120.6667,36.5839,331.0,1986-05,0.28,9.5,19.0,28.6
SD241782,-120.6667,36.5839,331.0,1986-06,0.00,13.1,23.3,33.5
SD241782,-120.6667,36.5839,331.0,1986-07,0.00,14.4,24.3,34.2
SD241782,-120.6667,36.5839,331.0,1986-08,0.00,14.9,25.6,36.2
SD241782,-120.6667,36.5839,331.0,1986-09,8.19,10.6,19.4,28.1
SD241782,-120.6667,36.5839,331.0,1986-10,0.00,8.9,17.7,26.5
SD241782,-120.6667,36.5839,331.0,1986-11,2.30,4.4,13.0,21.5
SD241782,-120.6667,36.5839,331.0,1986-12,16.72,1.6,7.9,14.3
SD241782,-120.6667,36.5839,331.0,1987-01,33.60,0.3,6.8,13.3
SD241782,-120.6667,36.5839,331.0,1987-02,78.05,3.0,9.7,16.5
SD241782,-120.6667,36.5839,331.0,1987-03,51.71,4.7,11.5,18.3
SD241782,-120.6667,36.5839,331.0,1987-04,5.74,7.8,17.4,27.0
SD241782,-120.6667,36.5839,331.0,1987-05,9.67,11.4,20.1,28.8
SD241782,-120.6667,36.5839,331.0,1987-06,0.00,13.1,23.0,32.9
SD241782,-120.6667,36.5839,331.0,1987-07,0.00,12.8,22.3,31.8
SD241782,-120.6667,36.5839,331.0,1987-08,0.00,13.8,23.9,34.1
SD241782,-120.6667,36.5839,331.0,1987-09,0.00,12.9,22.5,32.2
SD241782,-120.6667,36.5839,331.0,1987-10,37.35,12.2,20.3,28.4
SD241782,-120.6667,36.5839,331.0,1987-11,14.17,5.1,11.2,17.3
SD241782,-120.6667,36.5839,331.0,1987-12,46.77,1.8,7.5,13.2
SD241782,-120.6667,36.5839,331.0,1988-01,33.82,1.7,8.1,14.4
SD241782,-120.6667,36.5839,331.0,1988-02,20.22,2.0,10.8,19.6
SD241782,-120.6667,36.5839,331.0,1988-03,9.89,4.8,13.2,21.7
SD241782,-120.6667,36.5839,331.0,1988-04,33.17,7.6,15.3,23.1
SD241782,-120.6667,36.5839,331.0,1988-05,6.50,9.1,17.9,26.8
SD241782,-120.6667,36.5839,331.0,1988-06,2.27,12.9,21.7,30.6
SD241782,-120.6667,36.5839,331.0,1988-07,0.00,16.6,26.9,37.1
SD241782,-120.6667,36.5839,331.0,1988-08,0.00,15.1,24.0,32.9
SD241782,-120.6667,36.5839,331.0,1988-09,0.00,13.5,22.2,31.0
SD241782,-120.6667,36.5839,331.0,1988-10,0.00,10.5,18.9,27.2
SD241782,-120.6667,36.5839,331.0,1988-11,17.26,5.2,11.3,17.5
SD241782,-120.6667,36.5839,331.0,1988-12,55.20,1.5,6.9,12.3
SD241782,-120.6667,36.5839,331.0,1989-01,8.93,-0.4,6.6,13.6
SD241782,-120.6667,36.5839,331.0,1989-02,23.63,2.0,7.6,13.3
SD241782,-120.6667,36.5839,331.0,1989-03,26.37,5.9,12.2,18.5
SD241782,-120.6667,36.5839,331.0,1989-04,4.18,8.3,16.6,25.0
SD241782,-120.6667,36.5839,331.0,1989-05,1.98,10.3,18.1,25.8
SD241782,-120.6667,36.5839,331.0,1989-06,0.00,12.8,21.9,30.9
SD241782,-120.6667,36.5839,331.0,1989-07,0.00,15.6,25.0,34.4
SD241782,-120.6667,36.5839,331.0,1989-08,0.98,14.1,23.1,32.2
SD241782,-120.6667,36.5839,331.0,1989-09,30.13,12.0,20.8,29.6
SD241782,-120.6667,36.5839,331.0,1989-10,14.43,9.6,17.5,25.3
SD241782,-120.6667,36.5839,331.0,1989-11,9.95,3.5,12.1,20.7
SD241782,-120.6667,36.5839,331.0,1989-12,0.01,-0.8,7.1,15.0
