"id","latitude","longitude","elev_m","year","month"
"SD241782",36.58389,-120.66667,320,1995,5
"UC1529013",35.5657,-120.1137,518,1986,3
"CAS-BOT-BC38173",34.727265,-119.222423,1432,1962,4
"CAS-BOT-BC38217",35.78,-120.209,426,1962,3
"UCSB2234",34.711037,-119.117755,1676,1960,5
"CAS-BOT-BC38176",34.774,-119.642,1554,1960,5
"CAS-BOT-BC38178",35.511151,-119.968856,792,1954,4
"CAS-BOT-BC38183",34.96342,-119.109285,1127,1965,6
"UC2026995",35.031667,-119.658056,919,2005,3
"SBBG116541",34.88193,-119.4278,1030,2003,4
"CAS-BOT-BC38181",35.565825,-118.851804,502,1965,4
"RSA116506",35.692418,-120.143158,366,1954,3
"SBBG14744",35.6636,-120.2275,655,1962,3
"SBBG16948",34.63,-119.113,1524,1961,5
"SBBG22885",34.883,-119.446,975,1965,5
"UCR84372",34.73431,-119.39631,1027,1992,4
"UCR98782",34.94353,-119.11153,1220,1997,4
"CAS-BOT-BC38187",34.943333,-119.111389,1097,1997,4
"CAS-BOT-BC38199",36.283333,-120.933333,304,1959,3
"CAS-BOT-BC434964",34.770833,-118.680833,960,2006,4
"CAS-BOT-BC541448",34.88193,-119.42781,1030,2003,4
"CDA15627",35.2,-119.9,609,1993,4
"CDA30496",34.823889,-119.714722,1569,2008,6
"JEPS100507",36.583332,-120.666664,320,1995,5
"OBI62188",35.083333,-119.716667,660,2001,4
"RSA0029044",35.041389,-119.658889,819,2005,3
"RSA599543",34.943528,-119.111528,1098,1997,4
"RSA614188",34.95,-119.108333,1220,1997,4
"RSA695546",35.729167,-120.268889,351,1995,4
"RSA756110",35.502056,-120.078472,671,2001,4
"UC1736551",36.50028,-120.73333,908,1991,5
